      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.2300000         1.3073813        -0.4466242         3.5681395         0.8960529         6.3071636         8.5352378         0.3221191        -0.1453020         0.0165739         0.0495083         0.0205919         0.0462536         0.0673668         0.0157758         0.0000000        -0.0195133        -0.1038563         0.0000000         0.8960529         9.3750643         4.9738080         0.0481044         0.2560280         1.0420781         1.0420781         0.2605079         0.2499888         0.1056735         1.3850743      sliding
         0.2350000         1.3543873        -0.4418420         3.6196401         1.0167783         6.2115786         8.4403282         0.3175849        -0.1477932         0.0185964         0.0506001         0.0219712         0.0463416         0.0684630         0.0180440         0.0000000        -0.0189124        -0.1006741         0.0000000         1.0167783         9.2241822         4.9736618         0.0480224         0.2556312         1.0404607         1.0404607         0.2601028         0.2499881         0.1024351         1.3851024      sliding
         0.2400000         1.4007331        -0.4364557         3.6701662         1.1379369         6.1159634         8.3371267         0.3130416        -0.1498813         0.0205464         0.0516333         0.0233754         0.0464395         0.0694286         0.0203195         0.0000000        -0.0182839        -0.0970361         0.0000000         1.1379369         9.0669805         4.9701664         0.0480999         0.2552756         1.0391239         1.0391239         0.2597676         0.2499872         0.0987436         1.3845564      sliding
         0.2450000         1.4463653        -0.4304596         3.7196750         1.2609120         6.0200650         8.2259191         0.3085250        -0.1515537         0.0224379         0.0526068         0.0248018         0.0465470         0.0702642         0.0225933         0.0000000        -0.0175803        -0.0928621         0.0000000         1.2609120         8.9034607         4.9633976         0.0482712         0.2549766         1.0380807         1.0380807         0.2595056         0.2499860         0.0945115         1.3836946      sliding
         0.2500000         1.4912332        -0.4238410         3.7681250         1.3872468         5.9237483         8.1069144         0.3040678        -0.1528002         0.0242857         0.0535198         0.0262478         0.0466638         0.0709708         0.0248564         0.0000000        -0.0167633        -0.0880660         0.0000000         1.3872468         8.7336783         4.9533542         0.0484902         0.2547439         1.0373360         1.0373360         0.2593179         0.2499844         0.0896472         1.3826976      sliding
         0.2550000         1.5352882        -0.4165787         3.8154769         1.5186692         5.8269485         7.9802328         0.2997001        -0.1536129         0.0261042         0.0543714         0.0277106         0.0467898         0.0715494         0.0271003         0.0000000        -0.0158001        -0.0825547         0.0000000         1.5186692         8.5576946         4.9399704         0.0487242         0.2545819         1.0368840         1.0368840         0.2592027         0.2499823         0.0840531         1.3816941      sliding
         0.2600000         1.5784831        -0.4086426         3.8616927         1.6571231         5.7296550         7.8458998         0.2954499        -0.1539859         0.0279073         0.0551611         0.0291875         0.0469248         0.0720014         0.0293169         0.0000000        -0.0146623        -0.0762258         0.0000000         1.6571231         8.3755597         4.9231177         0.0489520         0.2544891         1.0367038         1.0367038         0.2591544         0.2499793         0.0776231         1.3807633      sliding
         0.2650000         1.6207718        -0.3999921         3.9067357         1.8048014         5.6318871         7.7038382         0.2913436        -0.1539156         0.0297074         0.0558884         0.0306759         0.0470688         0.0723280         0.0314982         0.0000000        -0.0133247        -0.0689657         0.0000000         1.8048014         8.1872888         4.9026093         0.0491628         0.2544565         1.0367541         1.0367541         0.2591623         0.2499747         0.0702411         1.3799410      sliding
         0.2700000         1.6621085        -0.3905751         3.9505705         1.9641815         5.5336821         7.5538632         0.2874058        -0.1534001         0.0315143         0.0565527         0.0321733         0.0472219         0.0725303         0.0336363         0.0000000        -0.0117636        -0.0606477         0.0000000         1.9641815         7.9928507         4.8781989         0.0493574         0.2544646         1.0369646         1.0369646         0.2592072         0.2499673         0.0617781         1.3792098      sliding
         0.2750000         1.7024471        -0.3803261         3.9931623         2.1380597         5.4350622         7.3956751         0.2836603        -0.1524400         0.0333332         0.0571538         0.0336771         0.0473840         0.0726093         0.0357236         0.0000000        -0.0099554        -0.0511302         0.0000000         2.1380597         7.7921395         4.8495849         0.0495489         0.2544793         1.0372238         1.0372238         0.2592582         0.2499539         0.0520904         1.3784954      sliding
